route_link_id,from_stop,to_stop,distance
rl_0000_1,0610EP1392,0610EP1023,
rl_0000_2,0610EP1023,0610EP1059,
rl_0000_3,0610EP1059,0610EP1058,
rl_0000_4,0610EP1058,0610EP1056,
rl_0000_5,0610EP1056,0610EP1054,
rl_0000_6,0610EP1054,0610EP63,
rl_0000_7,0610EP63,0610EP1052,
rl_0000_8,0610EP1052,0610EP1419,
rl_0000_9,0610EP1419,0610EP1050,
rl_0000_10,0610EP1050,0610EP1017A,
rl_0000_11,0610EP1017A,0610EP1049,
rl_0000_12,0610EP1049,0610EP1048,
rl_0000_13,0610EP1048,0610EP1013,
rl_0000_14,0610EP1013,0610EP1011,
rl_0000_15,0610EP1011,5120WDB47537,
rl_0001_1,0610EP1392,0610EP1023,
rl_0001_2,0610EP1023,0610EP1059,
rl_0001_3,0610EP1059,0610EP1058,
rl_0001_4,0610EP1058,0610EP1056,
rl_0001_5,0610EP1056,0610EP1054,
rl_0001_6,0610EP1054,0610EP63,
rl_0001_7,0610EP63,0610EP1052,
rl_0001_8,0610EP1052,0610EP1419,
rl_0001_9,0610EP1419,0610EP1050,
rl_0001_10,0610EP1050,0610EP1017A,
rl_0001_11,0610EP1017A,0610EP1049,
rl_0001_12,0610EP1049,0610EP1048,
rl_0001_13,0610EP1048,0610EP1013,
rl_0001_14,0610EP1013,0610EP1011,
rl_0001_15,0610EP1011,5120WDB47537,
rl_0001_16,5120WDB47537,5120AWF80668,
rl_0001_17,5120AWF80668,5120AWF80670,
rl_0001_18,5120AWF80670,5120WDB22102,
rl_0001_19,5120WDB22102,5120WDB47544,
rl_0001_20,5120WDB47544,5120AWF80657,
rl_0001_21,5120AWF80657,5120AWF80627,
rl_0002_1,5120WDB47536,0610EP17466,
rl_0002_2,0610EP17466,0610EP1010,
rl_0002_3,0610EP1010,0610EP1012,
rl_0002_4,0610EP1012,0610EP1014,
rl_0002_5,0610EP1014,0610EP1015,
rl_0002_6,0610EP1015,0610EP1016,
rl_0002_7,0610EP1016,0610EP1017,
rl_0002_8,0610EP1017,0610EP1018,
rl_0002_9,0610EP1018,0610EP1418,
rl_0002_10,0610EP1418,0610EP1019,
rl_0002_11,0610EP1019,0610EP1020,
rl_0002_12,0610EP1020,0610EP1053,
rl_0002_13,0610EP1053,0610EP1055,
rl_0002_14,0610EP1055,0610EP1057,
rl_0002_15,0610EP1057,0610EP1060,
rl_0002_16,0610EP1060,0610EP1024,
rl_0002_17,0610EP1024,0610EP1392,
rl_0003_1,5120AWF80627,5120AWF80656,
rl_0003_2,5120AWF80656,5120WDB47545,
rl_0003_3,5120WDB47545,5120AWF80658,
rl_0003_4,5120AWF80658,5120AWF80669,
rl_0003_5,5120AWF80669,5120WDB22101,
rl_0003_6,5120WDB22101,5120AWF80671,
rl_0003_7,5120AWF80671,5120WDB47546,
rl_0003_8,5120WDB47546,5120WDB21640,
rl_0003_9,5120WDB21640,5120WDB47536,
rl_0003_10,5120WDB47536,0610EP17466,
rl_0003_11,0610EP17466,0610EP1010,
rl_0003_12,0610EP1010,0610EP1012,
rl_0003_13,0610EP1012,0610EP1014,
rl_0003_14,0610EP1014,0610EP1015,
rl_0003_15,0610EP1015,0610EP1016,
rl_0003_16,0610EP1016,0610EP1017,
rl_0003_17,0610EP1017,0610EP1018,
rl_0003_18,0610EP1018,0610EP1418,
rl_0003_19,0610EP1418,0610EP1019,
rl_0003_20,0610EP1019,0610EP1020,
rl_0003_21,0610EP1020,0610EP1053,
rl_0003_22,0610EP1053,0610EP1055,
rl_0003_23,0610EP1055,0610EP1057,
rl_0003_24,0610EP1057,0610EP1060,
rl_0003_25,0610EP1060,0610EP1024,
rl_0003_26,0610EP1024,0610EP1392,
rl_0004_1,5120AWF80627,5120AWF80656,
rl_0004_2,5120AWF80656,5120WDB47545,
rl_0004_3,5120WDB47545,5120AWF80658,
rl_0004_4,5120AWF80658,5120AWF80669,
rl_0004_5,5120AWF80669,5120WDB22101,
rl_0004_6,5120WDB22101,5120AWF80671,
rl_0004_7,5120AWF80671,5120WDB47546,
rl_0004_8,5120WDB47546,5120WDB21640,
rl_0004_9,5120WDB21640,5120WDB47536,
rl_0004_10,5120WDB47536,0610EP17466,
rl_0004_11,0610EP17466,0610EP1010,
rl_0004_12,0610EP1010,0610EP1012,
rl_0004_13,0610EP1012,0610EP1014,
rl_0004_14,0610EP1014,0610EP1015,
rl_0004_15,0610EP1015,0610EP1016,
rl_0004_16,0610EP1016,0610EP1017,
rl_0004_17,0610EP1017,0610EP1018,
rl_0004_18,0610EP1018,0610EP1418,
rl_0004_19,0610EP1418,0610EP1019,
rl_0004_20,0610EP1019,0610EP1020,
rl_0004_21,0610EP1020,0610EP1053,
rl_0004_22,0610EP1053,0610EP1055,
rl_0004_23,0610EP1055,0610EP1057,
rl_0004_24,0610EP1057,0610EP1060,
rl_0004_25,0610EP1060,0610EP1024,
rl_0004_26,0610EP1024,0610EP1392,
rl_0000_1,5410AWD70058,5410AWP26338,
rl_0000_2,5410AWP26338,5410WDB23628,
rl_0000_3,5410WDB23628,5410AWD70055,
rl_0000_4,5410AWD70055,5410AWD70054,
rl_0000_5,5410AWD70054,5410WDB21868,
rl_0000_6,5410WDB21868,5410AWP26339,
rl_0000_7,5410AWP26339,5410AWP26351,
rl_0000_8,5410AWP26351,5410WDB24224,
rl_0000_9,5410WDB24224,5410AWD71721,
rl_0000_10,5410AWD71721,5410AWD71722,
rl_0000_11,5410AWD71722,5410WDB21864,
rl_0000_12,5410WDB21864,5410AWD70553,
rl_0000_13,5410AWD70553,5410AWD71725,
rl_0000_14,5410AWD71725,5410AWD70552,
rl_0000_15,5410AWD70552,5410AWD70551,
rl_0000_16,5410AWD70551,5410AWD70550,
rl_0000_17,5410AWD70550,5410AWP26342,
rl_0000_18,5410AWP26342,5410WDB21974,
rl_0000_19,5410WDB21974,5410WDB21975,
rl_0000_20,5410WDB21975,5410WDB23719,
rl_0000_21,5410WDB23719,5410AWD70608,
rl_0000_22,5410AWD70608,5410AWQ26215,
rl_0000_23,5410AWQ26215,5410AWD70607,
rl_0000_24,5410AWD70607,5410WDB22888,
rl_0000_25,5410WDB22888,5410WDB47350,
rl_0000_26,5410WDB47350,5410AWD70493,
rl_0000_27,5410AWD70493,5410WDB23637,
rl_0000_28,5410WDB23637,5410AWP26344,
rl_0000_29,5410AWP26344,5410AWD70496,
rl_0000_30,5410AWD70496,5410AWD70497,
rl_0000_31,5410AWD70497,5410AWD70498,
rl_0000_32,5410AWD70498,5410AWD70499,
rl_0000_33,5410AWD70499,5410AWD70500,
rl_0000_34,5410AWD70500,5410AWD70501,
rl_0000_35,5410AWD70501,5410AWD70503,
rl_0000_36,5410AWD70503,5410AWD70505,
rl_0000_37,5410AWD70505,5410AWD70506,
rl_0000_38,5410AWD70506,5410AWP26346,
rl_0000_39,5410AWP26346,5410AWD70606,
rl_0000_40,5410AWD70606,5410AWD70605,
rl_0000_41,5410AWD70605,5410AWD70510,
rl_0000_42,5410AWD70510,5410AWP26347,
rl_0000_43,5410AWP26347,5410AWP26353,
rl_0000_44,5410AWP26353,5410AWD70524,
rl_0000_45,5410AWD70524,5410WDB47858,
rl_0000_46,5410WDB47858,5410WDB21980,
rl_0000_47,5410WDB21980,5410AWQ26265,
rl_0000_48,5410AWQ26265,5410WDB21981,
rl_0000_49,5410WDB21981,5410AWD70514,
rl_0000_50,5410AWD70514,5410AWD70515,
rl_0000_51,5410AWD70515,5410AWD70516,
rl_0001_1,5410AWD70058,5410AWP26338,
rl_0001_2,5410AWP26338,5410WDB23628,
rl_0001_3,5410WDB23628,5410AWD70055,
rl_0001_4,5410AWD70055,5410AWD70054,
rl_0001_5,5410AWD70054,5410WDB21868,
rl_0001_6,5410WDB21868,5410AWP26339,
rl_0001_7,5410AWP26339,5410AWP26351,
rl_0001_8,5410AWP26351,5410WDB24224,
rl_0001_9,5410WDB24224,5410AWD71721,
rl_0001_10,5410AWD71721,5410AWD71722,
rl_0001_11,5410AWD71722,5410WDB21864,
rl_0001_12,5410WDB21864,5410AWD70553,
rl_0001_13,5410AWD70553,5410AWD71725,
rl_0001_14,5410AWD71725,5410AWD70552,
rl_0001_15,5410AWD70552,5410AWD70551,
rl_0001_16,5410AWD70551,5410AWD70550,
rl_0001_17,5410AWD70550,5410AWP26342,
rl_0001_18,5410AWP26342,5410WDB21974,
rl_0001_19,5410WDB21974,5410WDB21975,
rl_0001_20,5410WDB21975,5410WDB23719,
rl_0001_21,5410WDB23719,5410AWD70608,
rl_0001_22,5410AWD70608,5410AWQ26215,
rl_0001_23,5410AWQ26215,5410AWD70607,
rl_0001_24,5410AWD70607,5410WDB22888,
rl_0001_25,5410WDB22888,5410WDB47350,
rl_0001_26,5410WDB47350,5410AWD70493,
rl_0001_27,5410AWD70493,5410WDB23637,
rl_0001_28,5410WDB23637,5410AWP26344,
rl_0001_29,5410AWP26344,5410AWD70496,
rl_0001_30,5410AWD70496,5410AWD70497,
rl_0001_31,5410AWD70497,5410AWD70498,
rl_0001_32,5410AWD70498,5410AWD70499,
rl_0001_33,5410AWD70499,5410AWD70500,
rl_0001_34,5410AWD70500,5410AWD70501,
rl_0001_35,5410AWD70501,5410AWD70503,
rl_0001_36,5410AWD70503,5410AWD70505,
rl_0001_37,5410AWD70505,5410AWD70506,
rl_0001_38,5410AWD70506,5410AWP26346,
rl_0001_39,5410AWP26346,5410AWD70606,
rl_0001_40,5410AWD70606,5410AWD70605,
rl_0001_41,5410AWD70605,5410AWD70510,
rl_0001_42,5410AWD70510,5410AWP26347,
rl_0001_43,5410AWP26347,5410AWP26353,
rl_0001_44,5410AWP26353,5410AWD70524,
rl_0001_45,5410AWD70524,5410WDB47858,
rl_0001_46,5410WDB47858,5410WDB21980,
rl_0001_47,5410WDB21980,5410AWQ26265,
rl_0001_48,5410AWQ26265,5410WDB21981,
rl_0001_49,5410WDB21981,5410AWD70514,
rl_0001_50,5410AWD70514,5410AWD70515,
rl_0001_51,5410AWD70515,5410AWD70516,
rl_0002_1,5410AWD70058,5410AWP26338,
rl_0002_2,5410AWP26338,5410WDB23628,
rl_0002_3,5410WDB23628,5410AWD70055,
rl_0002_4,5410AWD70055,5410AWD70054,
rl_0002_5,5410AWD70054,5410WDB21868,
rl_0002_6,5410WDB21868,5410AWP26339,
rl_0002_7,5410AWP26339,5410AWP26351,
rl_0002_8,5410AWP26351,5410WDB24224,
rl_0002_9,5410WDB24224,5410AWD71721,
rl_0002_10,5410AWD71721,5410AWD71722,
rl_0002_11,5410AWD71722,5410WDB21864,
rl_0002_12,5410WDB21864,5410AWD70553,
rl_0002_13,5410AWD70553,5410AWD71725,
rl_0002_14,5410AWD71725,5410AWD70552,
rl_0002_15,5410AWD70552,5410AWD70551,
rl_0002_16,5410AWD70551,5410AWD70550,
rl_0002_17,5410AWD70550,5410AWP26342,
rl_0002_18,5410AWP26342,5410WDB21974,
rl_0002_19,5410WDB21974,5410WDB21975,
rl_0002_20,5410WDB21975,5410WDB23719,
rl_0002_21,5410WDB23719,5410AWD70608,
rl_0002_22,5410AWD70608,5410AWQ26215,
rl_0002_23,5410AWQ26215,5410AWD70607,
rl_0002_24,5410AWD70607,5410WDB22888,
rl_0002_25,5410WDB22888,5410WDB47350,
rl_0002_26,5410WDB47350,5410AWD70493,
rl_0002_27,5410AWD70493,5410WDB23637,
rl_0002_28,5410WDB23637,5410AWP26344,
rl_0002_29,5410AWP26344,5410AWD70496,
rl_0002_30,5410AWD70496,5410AWD70497,
rl_0002_31,5410AWD70497,5410AWD70498,
rl_0002_32,5410AWD70498,5410AWD70499,
rl_0002_33,5410AWD70499,5410AWD70500,
rl_0002_34,5410AWD70500,5410AWD70501,
rl_0002_35,5410AWD70501,5410AWD70503,
rl_0002_36,5410AWD70503,5410AWD70505,
rl_0002_37,5410AWD70505,5410AWD70506,
rl_0002_38,5410AWD70506,5410AWP26346,
