stop_point_ref,common_name,indicator,locality_name,locality_qualifier
0610EP1392,Ellesmere Port Bus Station Stand 3,,,
0610EP1396,Ellesmere Port Bus Station Stand 7,,,
0610EP1023,Whitby Park,,,
0610EP1024,Whitby Park,,,
0610EP1059,Grace Arms,,,
0610EP1060,Grace Arms,,,
0610EP1058,Stanney Lane,,,
0610EP1057,Stanney Lane,,,
0610EP1056,Cheltenham Road,,,
0610EP1055,Cheltenham Road,,,
0610EP1054,Cheshire Cat PH,,,
0610EP1053,Cheshire Cat PH,,,
0610EP63,Wolverham Road,,,
0610EP1020,Repton Road,,,
0610EP1052,Rochester Drive,,,
0610EP1019,Rochester Drive,,,
0610EP1419,Rochester Drive,,,
0610EP1418,Rochester Drive,,,
0610EP1050,Warkworth Court,,,
0610EP1018,Kenilworth Court,,,
0610EP1017A,Bodiam Court,,,
0610EP1017,Warwick Court,,,
0610EP1049,Stanney Grange Shops,,,
0610EP1016,Stanney Grange Shops,,,
0610EP1048,Criccieth Court,,,
0610EP1015,Criccieth Court,,,
0610EP1013,Stanney Lane,,,
0610EP1014,Rochester Drive,,,
0610EP1011,David Lloyd Leisure Centre,,,
0610EP1012,University Academy South Campus,,,
0610EP1010,David Lloyd Leisure Centre,,,
0610EP17466,Longlooms Road,,,
5120WDB47536,Deeside Ind Park,,,
5120WDB47537,Deeside Ind Park,,,
5120WDB21640,Welsh Road,,,
5120AWF80668,Drome Corner,,,
5120WDB47546,Cycle Bridge,,,
5120AWF80671,Deva Business Park,,,
5120WDB22101,Drome Corner,,,
5120AWF80669,Post Office,,,
5120AWF80670,Post Office,,,
5120AWF80658,Sealand School,,,
5120WDB22102,Sealand School,,,
5120WDB47544,Expressway Business Park,,,
5120WDB47545,Expressway Business Park,,,
5120AWF80657,Station Road Q,,,
5120AWF80656,Station Road,,,
5120AWF80627,Asda,,,
5120AWF80697,Solar Services,,,
5400GYX17359,Bus Station,,,
5400AWQ26381,Ffordd Deiniol,,,
5400WDB48299,Farrar Road,,,
5400AWF80918,Ffordd Deiniol,,,
5400AWF80913,Railway Station,,,
5400AWF80917,Railway Station,,,
5400AWF80915,Morrisons,,,
5400AWP26219,Morrisons,,,
5400AWF80885,Llys Tryfan,,,
5400AWF80886,Leisure Centre,,,
5400AWQ26382,Coleg Menai,,,
5400GYX17373,Llys Tryfan,,,
5400GYX17374,Canolfan Hamdden,,,
5400AWP26395,Coleg Menai,,,
5400AWP26436,Swyddfa'r Post Office,,,
5400AWF80888,Swyddfa'r Post Office,,,
5400AWF80889,Ffordd Belmont,,,
5400AWP26394,Ffordd Belmont,,,
5400AWP26181,Ffordd Penrhos,,,
5400AWP26217,Ffordd Penrhos,,,
5400AWF80891,Penrhos,,,
5400AWP26216,Heol Penrhos,,,
5400AWF80892,Top Coed Mawr,,,
5400AWP26215,Pen Coed Mawr,,,
5400WDB48328,Hafod Elfyn,,,
5400WDB48329,Hafod Elfyn,,,
5400AWQ26318,Kingdom Hall,,,
5400AWF80893,Bryn Adda,,,
5400AWP26183,Penrhos Garnedd,,,
5400AWF80894,Penrhos Garnedd,,,
